Train File,Test File,j,c,t,b,FN ,FP,Accuracy,Precision,Recall,F1,F.5
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,0,0,795,2286,0.6919,0.7282453637660485,0.8851322063285653,0.7990608491488946,0.7550099829919398
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,10,0,0,928,2176,0.6896,0.7336271269433223,0.865915330154602,0.7943008614976805,0.7567492486804556
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,100,0,0,993,2130,0.6877,0.7356664184661206,0.8565236237537928,0.7915081113558983,0.757030112635047
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,1,0,0,82,2925,0.6993,0.7004301515772224,0.9881520011559023,0.8197782439316752,0.743741435935359
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,10,0,0,85,2923,0.6992,0.7004816067220002,0.9877185377835573,0.8196642685851321,0.7437387122745175
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,100,0,0,80,2929,0.6991,0.7002047082906858,0.9884409767374657,0.819723204121982,0.7435707919393058
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,1,0,0,0,3079,0.6920999999999999,0.6921,1.0,0.8180367590567934,0.7375162507192942
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,10,0,0,0,3079,0.6920999999999999,0.6921,1.0,0.8180367590567934,0.7375162507192942
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,100,0,0,0,3079,0.6920999999999999,0.6921,1.0,0.8180367590567934,0.7375162507192942
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,1,0,1824,1613,0.6563,0.7596125186289121,0.7364542696142176,0.7478541559680141,0.7548650810106335
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,10,1,0,2068,1433,0.6498999999999999,0.772033089405027,0.7011992486634879,0.7349133035511471,0.7567441135194136
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,100,1,0,2129,1365,0.6506000000000001,0.7783011206756537,0.6923854934258055,0.7328337666309833,0.7594535484484453
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,1,1,0,144,2873,0.6982999999999999,0.702279792746114,0.9791937581274383,0.8179349465934465,0.7443817139342281
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,10,1,0,168,2840,0.6992,0.7039507974564787,0.9757260511486779,0.8178515199224901,0.7454794339081093
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,100,1,0,216,2757,0.7027,0.7086239695624603,0.9687906371911573,0.8185314045046693,0.7488440662065269
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,1,1,0,67,2952,0.6980999999999999,0.6989598205180502,0.9903193180176275,0.8195133616308962,0.7426590096435151
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,10,1,0,62,2960,0.6978,0.6985436398818617,0.991041756971536,0.8194743130227001,0.7423642227850293
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,100,1,0,78,2941,0.6980999999999999,0.6994071954210956,0.988729952319029,0.8192756659682728,0.742883817877847
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,2,0,1674,1700,0.6626000000000001,0.7552900532604002,0.7581274382314694,0.7567060859532737,0.755855829900026
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,10,2,0,2057,1462,0.6481,0.7688902940246601,0.7027886143620864,0.7343549482901789,0.7546935608999225
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,100,2,0,2053,1455,0.6492,0.7698877115293373,0.7033665655252131,0.7351253397765026,0.755595567007109
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,1,2,0,150,2863,0.6987,0.7028233340253269,0.9783268313827481,0.8180006040471157,0.7447697824317487
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,10,2,0,186,2807,0.7007,0.7058268706770069,0.9731252709146078,0.8181983842556035,0.7468562177027657
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,100,2,0,214,2771,0.7015,0.7076387423507069,0.9690796127727207,0.8179767058967009,0.7479981263801219
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,1,2,0,59,2960,0.6980999999999999,0.6986357157401751,0.9914752203438809,0.8196858388580303,0.7424960505529226
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,10,2,0,79,2943,0.6978,0.6992335206949413,0.9885854645282474,0.8191069076978331,0.7427107531317166
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,100,2,0,108,2895,0.6997,0.7017923362175525,0.9843953185955787,0.8194118708280715,0.7445413415513736
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,3,0,216,2778,0.7006,0.7070547295159759,0.9687906371911573,0.8174835405998536,0.7474416426994849
