Train File,Test File,j,c,t,b,# FN ,# FP,Accuracy,Precision,Recall,F1,F.5
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,2,0,1674,1700,0.6626000000000001,0.7552900532604002,0.7581274382314694,0.7567060859532737,0.755855829900026
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,10,2,0,2057,1462,0.6481,0.7688902940246601,0.7027886143620864,0.7343549482901789,0.7546935608999225
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,100,2,0,2053,1455,0.6492,0.7698877115293373,0.7033665655252131,0.7351253397765026,0.755595567007109
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,1,2,0,150,2863,0.6987,0.7028233340253269,0.9783268313827481,0.8180006040471157,0.7447697824317487
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,10,2,0,186,2807,0.7007,0.7058268706770069,0.9731252709146078,0.8181983842556035,0.7468562177027657
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,100,2,0,214,2771,0.7015,0.7076387423507069,0.9690796127727207,0.8179767058967009,0.7479981263801219
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,1,2,0,59,2960,0.6980999999999999,0.6986357157401751,0.9914752203438809,0.8196858388580303,0.7424960505529226
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,10,2,0,79,2943,0.6978,0.6992335206949413,0.9885854645282474,0.8191069076978331,0.7427107531317166
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,100,2,0,108,2895,0.6997,0.7017923362175525,0.9843953185955787,0.8194118708280715,0.7445413415513736
