Train File,Test File,j,c,t,# FN ,# FP,Accuracy,Precision,Recall,F1,F.5
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.4,1,2,2664,1184,0.6152,0.78239294247381,0.6150845253576073,0.6887235075230546,0.7420254488408575
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.4,10,2,3166,917,0.5917,0.8037243150684932,0.5425516543852045,0.6478047097386354,0.7331406927252138
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.4,100,2,3497,759,0.5744,0.8185512789863734,0.4947261956364687,0.61671469740634,0.7237982496934848
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.6,1,2,528,2479,0.6993,0.7205816050495942,0.9237104464672735,0.8095991895143417,0.7537315192529888
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.6,10,2,500,2498,0.7001999999999999,0.7199237582688642,0.9277561046091606,0.8107323232323232,0.7536915745240276
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.6,100,2,745,2299,0.6956,0.7287315634218289,0.8923565958676491,0.8022863081319823,0.7564733837975551
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.8,1,2,122,2888,0.6990000000000001,0.701868483534634,0.9823724895246352,0.81876204238921,0.7443780244805009
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.8,10,2,127,2889,0.6984,0.7016420530827223,0.9816500505707267,0.8183570224042399,0.744091297395571
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.8,100,2,159,2848,0.6993,0.7036420395421435,0.977026441265713,0.8180993285342689,0.745353938405238
