Train File,Test File,j,c,t,b,# FN ,# FP,Accuracy,Precision,Recall,F1,F.5
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.75,1,2,0,150,2862,0.6988,0.7028962939894114,0.9783268313827481,0.8180500181225082,0.7448353244010297
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.75,10,2,0,186,2807,0.7007,0.7058268706770069,0.9731252709146078,0.8181983842556035,0.7468562177027657
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.75,100,2,0,215,2760,0.7025,0.7084301711388126,0.968935124981939,0.8184536522853482,0.7486881768449256
../data/svm_norm/dat_1.txt,../data/svm_norm/dat_10.txt,0.75,1000,2,0,271,2707,0.7021999999999999,0.7106978732499732,0.960843808698165,0.8170536920997665,0.7497350560328305
